n,package,sparsity,accuracy,ortho_viol,varexplained
150,elasticnet,40,0.9,0.018551354829564434,0.08665014297955458
200,msPCA,40,0.875,8.78762996161905e-5,0.09664945597649614
200,msPCA - X,40,0.875,8.78762996161729e-5,0.09664945597649613
200,elasticnet,40,0.925,0.002548997424128316,0.09040946625629595
250,msPCA,40,0.9,8.802315047935114e-5,0.09915187939518681
250,msPCA - X,40,0.9,8.802315047934766e-5,0.09915187939518687
250,elasticnet,40,0.9,0.006527165555140813,0.09421631323680485
500,msPCA,40,0.975,0,0.1070920214158838
500,msPCA - X,40,0.975,0,0.10709202141588382
500,elasticnet,40,0.975,0,0.10336735736480955
1000,msPCA,40,1,0,0.11008265629043326
1000,msPCA - X,40,1,0,0.11008265629043326
1000,elasticnet,40,1,0,0.10854271318201697
1500,msPCA,40,1,0,0.1104765889555343
1500,msPCA - X,40,1,0,0.11047658895553432
1500,elasticnet,40,1,0,0.10991993485284525
25,msPCA,40,0.475,9.543994862388077e-5,0.05344883832018943
25,msPCA - X,40,0.475,9.543994862387732e-5,0.05344883832018941
25,elasticnet,40,0.475,0.020693863240437812,0.051313931101026396
50,msPCA,40,0.55,8.366786087928044e-5,0.06403249612222572
50,msPCA - X,40,0.55,8.366786087910974e-5,0.06403249612222571
50,elasticnet,40,0.625,0.018389457244910104,0.0669402318438923
75,msPCA,40,0.725,9.545095400924332e-5,0.07889070040459474
75,msPCA - X,40,0.725,9.545095400921539e-5,0.07889070040459471
75,elasticnet,40,0.7,0.016043455122583188,0.072642590023925
100,msPCA,40,0.725,8.662489583990099e-5,0.08116233775249652
100,msPCA - X,40,0.725,8.662489583981275e-5,0.08116233775249655
100,elasticnet,40,0.725,0.013587943537698363,0.07641937509615107
150,msPCA,40,0.825,8.023341259495016e-5,0.0900682028385614
150,msPCA - X,40,0.825,8.023341259299926e-5,0.09006820283855976
150,elasticnet,40,0.875,1.7182178996247795e-5,0.08410160674268481
200,msPCA,40,0.925,9.589633722730641e-5,0.10115924872554302
200,msPCA - X,40,0.925,9.589633722732361e-5,0.10115924872554301
200,elasticnet,40,0.925,0.004117523920453779,0.09331570185008553
250,msPCA,40,0.9,7.853830756766722e-5,0.09996896693748124
250,msPCA - X,40,0.9,7.85383075675777e-5,0.09996896693748125
250,elasticnet,40,0.975,0,0.09388096371388252
500,msPCA,40,1,0,0.10925018157404716
500,msPCA - X,40,1,0,0.10925018157404724
500,elasticnet,40,1,0,0.10596983545042148
1000,msPCA,40,1,0,0.11016538595534497
1000,msPCA - X,40,1,0,0.11016538595534493
1000,elasticnet,40,1,0,0.10877560589655909
1500,msPCA,40,1,0,0.11043369233342157
1500,msPCA - X,40,1,0,0.1104336923047716
1500,elasticnet,40,1,0,0.10986603666717426
