n,package,sparsity,accuracy,ortho_viol,varexplained
200,elasticnet,40,0.95,0.003243290085341069,0.09010156269216085
250,msPCA,40,0.925,1.6312141725872756e-4,0.10101904377917897
250,elasticnet,40,0.925,0.012897062164306345,0.09420257862909594
500,msPCA,40,1,1.1102230246251565e-16,0.10843062496539149
500,elasticnet,40,1,2.220446049250313e-16,0.10145095934004106
1000,msPCA,40,1,0,0.10970858505120273
1000,elasticnet,40,1,3.3306690738754696e-16,0.10745541642178771
1500,msPCA,40,1,1.1102230246251565e-16,0.11008073416758317
1500,elasticnet,40,1,2.220446049250313e-16,0.1089788299311441
25,msPCA,40,0.5,1.1553234085051186e-4,0.04489629313914568
25,elasticnet,40,0.45,0.0694508908416481,0.04284914342911917
50,msPCA,40,0.45,1.650464900736833e-4,0.05873913034339945
50,elasticnet,40,0.5,0.01161463390444611,0.05216780842825425
75,msPCA,40,0.525,1.7171983089731943e-4,0.06326003606939386
75,elasticnet,40,0.475,0.03872764949311966,0.057403834773515384
100,msPCA,40,0.525,1.9371404035258284e-4,0.0676552674804439
100,elasticnet,40,0.575,0.12562098396972252,0.058437618249486345
150,msPCA,40,0.775,1.9064917138732806e-4,0.08531223377798611
150,elasticnet,40,0.85,0.0082077760678371,0.08220395596839689
200,msPCA,40,0.85,1.555220312276794e-4,0.09285157877790068
200,elasticnet,40,0.95,0.019888311138727,0.08635074823085845
250,msPCA,40,0.975,1.901048179739297e-4,0.105336960182601
250,elasticnet,40,0.975,0.016779992521783624,0.09005226339284834
500,msPCA,40,1,4.440892098500626e-16,0.10947649942069115
500,elasticnet,40,1,0,0.10551915601338413
1000,msPCA,40,1,4.440892098500626e-16,0.11016859859161042
1000,elasticnet,40,1,2.220446049250313e-16,0.109341072275282
1500,msPCA,40,1,2.220446049250313e-16,0.11038746683351452
1500,elasticnet,40,1,0,0.1097649869599035
